feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
RSI_HC_Composite,-0.010525670482686121,-0.05856792414913043,71,0.0010659951441752288,0.008130800488379398,134.0,0.05856792414913043
mp_d4_b396_sym_trace,-0.008464841169400243,-0.057814708893362994,71,-0.006601510289323338,-0.07116808094616121,,0.057814708893362994
G_Volume_Trend_Analyzer,0.006378926121460892,0.0541480778585014,71,-0.002661543971644854,-0.061757687723433576,419.0,0.0541480778585014
dollar_volume_ma_10,-0.006071968294222878,-0.05281940837884149,71,0.003754967121923968,0.03973180347362859,204.0,0.05281940837884149
High_Close_Ratio,0.007256022119917998,0.048042881086693724,71,0.0026539964047384494,0.022122168623410727,28.0,0.048042881086693724
high_close_ratio,0.007256022119917998,0.048042881086693724,71,0.0026539964047384494,0.022122168623410727,18.0,0.048042881086693724
HC_Ratio,0.007256022119917998,0.048042881086693724,71,0.0026539964047384494,0.022122168623410727,22.0,0.048042881086693724
composite,-0.006856611911254856,-0.047622497318084704,71,-0.007320728746036862,-0.07490448724272518,,0.047622497318084704
VWAP_std200,0.006182609849782283,0.04760890880250562,71,-0.004517496411756622,-0.045636194286694805,288.0,0.04760890880250562
cv_20d,-0.006243185983298904,-0.046182164228334,71,-0.00786850719898097,-0.06414932159131564,252.0,0.046182164228334
spectral_entropy,-0.0048909604687143796,-0.045751740399779195,71,-0.009381113414886785,-0.25841329231780047,464.0,0.045751740399779195
Significant_Indicators_Ensemble,0.007119263019562307,0.04574069456328776,71,0.004023129043514561,0.038539537881457586,489.0,0.04574069456328776
Price_Differential_Ratio_Acceleration_3d,0.004280353918796967,0.04561971494520315,71,0.0020629953682764824,0.052614646495995704,532.0,0.04561971494520315
G_Volume_Weighted_High_Ratio,0.006005790769521356,0.04453472799661868,71,-0.008462424589652252,-0.08666928831396113,166.0,0.04453472799661868
Price_Differential_Ratio_LogScale_Rank_20d,0.005424183008290721,0.043949936336671595,71,0.0062156870098632805,0.08261245012705039,488.0,0.043949936336671595
return_20d_abs,-0.005602361456739263,-0.04287686595623314,71,0.0004481395140665804,0.004415844097514285,449.0,0.04287686595623314
Price_Differential_Ratio_Diff_10d,0.005143853886417203,0.042690682027655254,71,0.00999689858408837,0.1267862200188005,380.0,0.042690682027655254
G_Volume_Adjusted_Price_Indicator,0.005394034524827001,0.04199452749792677,71,-0.008459871222959303,-0.09936076392881152,444.0,0.04199452749792677
